21 op 32  0.508937 ms
21 op 34  0.596602 ms
21 op 35  0.599951 ms

22 op 0  0.094599 ms
22 op 1  0.097574 ms
22 op 10  0.501404 ms
22 op 11  0.195190 ms
22 op 12  0.508864 ms
22 op 30  0.504348 ms
22 op 31  0.198251 ms
22 op 32  0.509925 ms
22 op 34  0.602407 ms
22 op 35  0.605059 ms

23 op 0  0.095132 ms
23 op 1  0.098046 ms
23 op 10  0.500308 ms
23 op 11  0.196050 ms
23 op 12  0.508665 ms
23 op 30  0.503249 ms
23 op 31  0.198780 ms
23 op 32  0.512273 ms
23 op 34  0.601094 ms
23 op 35  0.603697 ms

24 op 0  0.095488 ms
24 op 1  0.098200 ms
24 op 10  0.503159 ms
24 op 11  0.196244 ms
24 op 12  0.510436 ms
24 op 30  0.506068 ms
24 op 31  0.199017 ms
24 op 32  0.514403 ms
24 op 34  0.604117 ms
24 op 35  0.607236 ms

25 op 0  0.094797 ms
25 op 1  0.097842 ms
25 op 10  0.502612 ms
25 op 11  0.195949 ms
25 op 12  0.509780 ms
25 op 30  0.505531 ms
25 op 31  0.199091 ms
25 op 32  0.513493 ms
25 op 34  0.603619 ms
25 op 35  0.606530 ms

26 op 0  0.095105 ms
26 op 1  0.098138 ms
26 op 10  0.503549 ms
26 op 11  0.196069 ms
26 op 12  0.510747 ms
26 op 30  0.506294 ms
26 op 31  0.199050 ms
26 op 32  0.511952 ms
26 op 34  0.604503 ms
26 op 35  0.607380 ms

27 op 0  0.094989 ms
27 op 1  0.097808 ms
27 op 10  0.500905 ms
27 op 11  0.196123 ms
27 op 12  0.508223 ms
27 op 30  0.503878 ms
27 op 31  0.199081 ms
27 op 32  0.510078 ms
27 op 34  0.601753 ms
27 op 35  0.605153 ms

28 op 0  0.094592 ms
28 op 1  0.097677 ms
28 op 10  0.502503 ms
28 op 11  0.195461 ms
28 op 12  0.507968 ms
28 op 30  0.505138 ms
28 op 31  0.198377 ms
28 op 32  0.511039 ms
28 op 34  0.603591 ms
28 op 35  0.606424 ms

29 op 0  0.094889 ms
29 op 1  0.097626 ms
29 op 10  0.502183 ms
29 op 11  0.195788 ms
29 op 12  0.509768 ms
29 op 30  0.505037 ms
29 op 31  0.198409 ms
29 op 32  0.511579 ms
29 op 34  0.602938 ms
29 op 35  0.605593 ms

30 op 0  0.095369 ms
30 op 1  0.098228 ms
30 op 10  0.502103 ms
30 op 11  0.196114 ms
30 op 12  0.507792 ms
30 op 30  0.504858 ms
30 op 31  0.199127 ms
30 op 32  0.510416 ms
30 op 34  0.602888 ms
30 op 35  0.606228 ms

31 op 0  0.094804 ms
31 op 1  0.097774 ms
31 op 10  0.502723 ms
31 op 11  0.195580 ms
31 op 12  0.508191 ms
31 op 30  0.505497 ms
31 op 31  0.198546 ms
31 op 32  0.510970 ms
